seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762044	762071	28	*	X00001	643837	762971	794826	31856	+	899	upstream	899	LINC01128
chr1	860270	860419	150	*	X00011	148398	860530	879961	19432	+	110	upstream	110	SAMD11
chr1	894601	894710	110	*	X00033	339451	895967	901099	5133	+	1256	upstream	1256	KLHL17
chr1	894601	894710	110	*	X00033	26155	879583	894679	15097	-	0	overlapStart	0	NOC2L
chr1	895441	896055	615	*	X00034	339451	895967	901099	5133	+	0	overlapStart	0	KLHL17
chr1	895441	896055	615	*	X00034	26155	879583	894679	15097	-	761	upstream	761	NOC2L
chr1	900929	901048	120	*	X00035	84069	901877	910484	8608	+	828	upstream	828	PLEKHN1
chr1	901189	901408	220	*	X00036	84069	901877	910484	8608	+	468	upstream	468	PLEKHN1
chr1	919360	919448	89	*	X00042	84808	910579	917473	6895	-	1886	upstream	1886	PERM1
chr1	936696	936994	299	*	X00050	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	948638	948742	105	*	X00053	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	955471	955471	1	*	X00054	375790	955503	991499	35997	+	31	upstream	31	AGRN
chr1	1051311	1051445	135	*	X00082	54991	1017198	1051736	34539	-	0	inside	290	C1orf159
chr1	1052286	1052409	124	*	X00083	54991	1017198	1051736	34539	-	549	upstream	549	C1orf159
chr1	1071829	1071923	95	*	X00084	254099	1072397	1079434	7038	+	473	upstream	473	LINC01342
chr1	1071984	1072118	135	*	X00085	254099	1072397	1079434	7038	+	278	upstream	278	LINC01342
chr1	1182172	1182531	360	*	X00093	388581	1177826	1182102	4277	-	69	upstream	69	C1QTNF12
chr1	1209407	1209599	193	*	X00094	118424	1189292	1209234	19943	-	172	upstream	172	UBE2J2
chr1	1209863	1209863	1	*	X00095	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1242550	1242654	105	*	X00096	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1243000	1243089	90	*	X00097	126789	1243994	1247057	3064	+	904	upstream	904	PUSL1
chr1	1243195	1243256	62	*	X00098	126789	1243994	1247057	3064	+	737	upstream	737	PUSL1
chr1	1244950	1245054	105	*	X00100	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1259586	1259709	124	*	X00101	80772	1260143	1264276	4134	+	433	upstream	433	CPTP
chr1	1260203	1260265	63	*	X00102	80772	1260143	1264276	4134	+	0	inside	59	CPTP
chr1	1260203	1260265	63	*	X00102	54973	1246965	1260067	13103	-	135	upstream	135	INTS11
chr1	1260310	1260414	105	*	X00103	80772	1260143	1264276	4134	+	0	inside	166	CPTP
chr1	1260310	1260414	105	*	X00103	54973	1246965	1260067	13103	-	242	upstream	242	INTS11
chr1	1284445	1284501	57	*	X00105	1855	1270658	1284492	13835	-	0	overlapStart	0	DVL1
chr1	1285344	1285356	13	*	X00106	1855	1270658	1284492	13835	-	851	upstream	851	DVL1
chr1	1334266	1334385	120	*	X00109	148413	1334910	1337426	2517	+	524	upstream	524	MRPL20-AS1
